sha	target	subject
40a8820	DROP-fork-ci	ci: add Snowflake-Labs CI for the pljs hardening branches
35c657b	HELD-data-format	fix: correctly encode NAMEOID bind parameters in pljs_jsvalue_to_datum
06f6d90	PR2-error-reporting	fix: call FlushErrorState() after CopyErrorData() in pljs_execute PG_CATCH
6948feb	PR3-crashes	fix: call SPI_freetuptable() after result conversion in pljs_execute
01b942f	HELD-data-format	fix: make NULL bind parameters work in pljs.execute
6ecd384	PR8-null-record	fix: avoid PG_RETURN_NULL() with NULL fcinfo in remaining edge cases
aee8377	PR4-lifetimes	fix: allocate prepared plan data in CacheMemoryContext
2b10d94	PR2-error-reporting	fix: preserve JS error message and Postgres detail across SPI boundary
55c1199	FOLD-tests	test: lock down int64/BigInt losslessness through pljs.execute
b3b8e5c	FOLD-tests	test: lock down boolean bind coercion used by snowflake_cdc
4d10c08	FOLD-tests	test: lock down rich/nested type marshalling through pljs.execute
7611ac6	FOLD-tests	test: lock down nested-error envelope (message/SQLSTATE/detail/hint)
171ec0f	FOLD-tests	test: differential port of plv8 scalar_args/varparam/bytea scenarios
334ea1b	FOLD-tests	test: SPI subtransaction isolation on a caught pljs.execute error
012a361	FOLD-tests	test: lock down the snowflake_cdc type-boundary matrix
872bee5	FOLD-tests	test: wire orphaned currentresource.sql into REGRESS
f399243	FOLD-tests	test: port plv8 coverage gaps into owned pljs regression tests
67c4bdb	PR1-corruption	fix: bound Uint32/Int32Array->bytea copy loop by length, not 4*length
b744011	PR1-corruption	fix: don't return from inside PG_TRY in pljs_find_function
ba7a32d	PR4-lifetimes	fix: free parstate on pljs_prepare error path
9bcfda5	PR3-crashes	fix: guard cursor fetch/move/close with an internal subtransaction
7ee6607	PR4-lifetimes	fix: reclaim prepared-statement plans via a GC finalizer
23ef8af	PR3-crashes	fix: release proctuple syscache pin per-branch before entering JS
ddea75b	PR5-leaks	fix: drop leaked JS references in pljs storage helpers
cd99c59	PR1-corruption	fix: copy prosrc with pstrdup instead of fixed-length memcpy
8be1343	PR6-operability	fix: honor query cancellation instead of hijacking backend signals
9edaac5	PR6-operability	fix: bound JS stack size explicitly instead of trusting the vendored default
